cancer,smoke,region,prefecture,
15.993,22.56,Hokkaido/Tohoku,Hokkaido,
16.063,22.06,Hokkaido/Tohoku,Aomori,
13.555,20.94,Hokkaido/Tohoku,Iwate,
12.346,21,Hokkaido/Tohoku,Miyagi,
13.478,20.59,Hokkaido/Tohoku,Akita,
11.18,17.97,Hokkaido/Tohoku,Yamagata,
12.606,21.89,Hokkaido/Tohoku,Fukushima,
13.246,19.08,Kanto,Ibaraki,
11.379,19.84,Kanto,Tochigi,
11.618,19.68,Kanto,Gunma,
11.78,18.29,Kanto,Saitama,
12.312,20.21,Kanto,Chiba,
12.09,16.49,Kanto,Tokyo,
11.972,17.29,Kanto,Kanagawa,
12.659,18.69,Chubu,Niigata,
10.656,17.98,Chubu,Toyama,
11.204,17.32,Chubu,Ishikawa,
11.115,18.42,Chubu,Fukui,
10.638,19.12,Chubu,Yamanashi,
8.982,16.96,Chubu,Nagano,
11.954,17.23,Chubu,Gifu,
10.942,18.41,Chubu,Shizuoka,
12.239,18.14,Chubu,Aichi,
11.193,18.37,Kinki,Mie,
10.848,16.01,Kinki,Shiga,
12.292,15.77,Kinki,Kyoto,
14.49,19.14,Kinki,Osaka,
11.785,15.65,Kinki,Hyogo,
12.74,15.27,Kinki,Nara,
15.308,17.54,Kinki,Wakayama,
16.387,17.59,Chugoku,Tottori,
11.926,15.82,Chugoku,Shimane,
11.245,17.5,Chugoku,Okayama,
11.811,17.42,Chugoku,Hiroshima,
12.956,16.66,Chugoku,Yamaguchi,
13.342,16.95,Shikoku,Tokushima,
12.346,16.62,Shikoku,Kagawa,
11.765,15.82,Shikoku,Ehime,
13.131,18.21,Shikoku,Kochi,
13.524,19.84,Kyusyu/Okinawa,Fukuoka,
10.975,21.21,Kyusyu/Okinawa,Saga,
13.731,18.93,Kyusyu/Okinawa,Nagasaki,
13.082,18.42,Kyusyu/Okinawa,Kumamoto,
10.635,17.76,Kyusyu/Okinawa,Oita,
12.64,19.18,Kyusyu/Okinawa,Miyazaki,
13.139,19.05,Kyusyu/Okinawa,Kagoshima,
11.877,19.46,Kyusyu/Okinawa,Okinawa,
